,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10198,0.637,0.528,1,-9.837,1,0.0394,0.163,0.0,0.122,0.781,106.949,audio_features,6KEWtSOGKpIXGw6l1uJgsR,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,https://api.spotify.com/v1/tracks/6KEWtSOGKpIXGw6l1uJgsR,https://api.spotify.com/v1/audio-analysis/6KEWtSOGKpIXGw6l1uJgsR,207573,4
10199,0.791,0.734,5,-5.464,1,0.0629,0.522,0.00165,0.167,0.962,105.854,audio_features,714hERk9U1W8FMYkoC83CO,spotify:track:714hERk9U1W8FMYkoC83CO,https://api.spotify.com/v1/tracks/714hERk9U1W8FMYkoC83CO,https://api.spotify.com/v1/audio-analysis/714hERk9U1W8FMYkoC83CO,244920,4
10200,0.644,0.825,3,-4.643,0,0.0354,0.347,0.305,0.369,0.789,115.005,audio_features,6dReR7r5q7kuPXdPeKlpsc,spotify:track:6dReR7r5q7kuPXdPeKlpsc,https://api.spotify.com/v1/tracks/6dReR7r5q7kuPXdPeKlpsc,https://api.spotify.com/v1/audio-analysis/6dReR7r5q7kuPXdPeKlpsc,228907,4
10201,0.563,0.77,2,-8.672,1,0.0388,0.0712,0.125,0.205,0.43,114.229,audio_features,1F6WOrW9vtrE5v1XWl08k4,spotify:track:1F6WOrW9vtrE5v1XWl08k4,https://api.spotify.com/v1/tracks/1F6WOrW9vtrE5v1XWl08k4,https://api.spotify.com/v1/audio-analysis/1F6WOrW9vtrE5v1XWl08k4,337667,4
10202,0.513,0.775,11,-5.137,0,0.0284,0.0929,0.0,0.404,0.518,112.194,audio_features,7vYA9ET5AUqJt5pBbhKmcB,spotify:track:7vYA9ET5AUqJt5pBbhKmcB,https://api.spotify.com/v1/tracks/7vYA9ET5AUqJt5pBbhKmcB,https://api.spotify.com/v1/audio-analysis/7vYA9ET5AUqJt5pBbhKmcB,149360,4
10203,0.624,0.424,1,-8.237,1,0.24,0.286,0.0,0.173,0.584,76.671,audio_features,1oGdVdYjeQvojGKDddxLQQ,spotify:track:1oGdVdYjeQvojGKDddxLQQ,https://api.spotify.com/v1/tracks/1oGdVdYjeQvojGKDddxLQQ,https://api.spotify.com/v1/audio-analysis/1oGdVdYjeQvojGKDddxLQQ,206013,4
10204,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,audio_features,0E8q2Fx2XuzXCO2NSAppkR,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/tracks/0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/audio-analysis/0E8q2Fx2XuzXCO2NSAppkR,255227,4
10205,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
10206,0.677,0.503,4,-9.027,1,0.0867,0.0888,1.48e-05,0.182,0.417,85.926,audio_features,0jOXmNowR2j1hVpZMqnz9P,spotify:track:0jOXmNowR2j1hVpZMqnz9P,https://api.spotify.com/v1/tracks/0jOXmNowR2j1hVpZMqnz9P,https://api.spotify.com/v1/audio-analysis/0jOXmNowR2j1hVpZMqnz9P,207467,4
10207,0.568,0.925,2,-5.274,1,0.0402,0.00635,0.00495,0.315,0.752,118.45,audio_features,5uh98HlgvoJd2zRWAduj2Y,spotify:track:5uh98HlgvoJd2zRWAduj2Y,https://api.spotify.com/v1/tracks/5uh98HlgvoJd2zRWAduj2Y,https://api.spotify.com/v1/audio-analysis/5uh98HlgvoJd2zRWAduj2Y,235800,4
10208,0.693,0.0681,6,-19.554,0,0.0433,0.898,0.0191,0.127,0.599,120.641,audio_features,1Ulh5rWbhhV3PltDadTBZC,spotify:track:1Ulh5rWbhhV3PltDadTBZC,https://api.spotify.com/v1/tracks/1Ulh5rWbhhV3PltDadTBZC,https://api.spotify.com/v1/audio-analysis/1Ulh5rWbhhV3PltDadTBZC,191293,4
10209,0.704,0.709,4,-10.453,0,0.0589,0.0228,0.224,0.0832,0.848,113.25,audio_features,7zjdO3toeBJIUzxjHkvRan,spotify:track:7zjdO3toeBJIUzxjHkvRan,https://api.spotify.com/v1/tracks/7zjdO3toeBJIUzxjHkvRan,https://api.spotify.com/v1/audio-analysis/7zjdO3toeBJIUzxjHkvRan,288080,4
10210,0.631,0.852,1,-3.181,1,0.029,0.0601,0.000102,0.144,0.834,132.018,audio_features,6z9ehfxE973fOlKJKNJL2x,spotify:track:6z9ehfxE973fOlKJKNJL2x,https://api.spotify.com/v1/tracks/6z9ehfxE973fOlKJKNJL2x,https://api.spotify.com/v1/audio-analysis/6z9ehfxE973fOlKJKNJL2x,255600,4
10211,0.773,0.872,7,-5.157,1,0.0438,0.821,1.64e-05,0.109,0.947,130.948,audio_features,3RYwxAkUbHCzCmX8M0C0Zd,spotify:track:3RYwxAkUbHCzCmX8M0C0Zd,https://api.spotify.com/v1/tracks/3RYwxAkUbHCzCmX8M0C0Zd,https://api.spotify.com/v1/audio-analysis/3RYwxAkUbHCzCmX8M0C0Zd,160693,4
10212,0.713,0.96,11,-2.34,1,0.143,0.0381,1.25e-05,0.255,0.714,101.982,audio_features,6FuAe03bP2SQT4TCDKhuGx,spotify:track:6FuAe03bP2SQT4TCDKhuGx,https://api.spotify.com/v1/tracks/6FuAe03bP2SQT4TCDKhuGx,https://api.spotify.com/v1/audio-analysis/6FuAe03bP2SQT4TCDKhuGx,209760,4
