,Song,Artist
176,Dónde están tus ojos negros,Santabárbara
177,De amor ya no se muere,Gianni Bella
178,Don't go breaking my heart,Elton John
179,Libertad sin ira,Jarcha
180,Libertad sin ira,Jarcha
181,Terciopelo,Joan Baptista Humet
182,Memorias,Camilo Sesto
183,Otro ocupa mi lugar,Miguel Gallardo
184,If you leave me now,Chicago
185,Y te amaré,Ana y Johnny
186,Ella,Luis Fierro
187,Si...,José Luis Perales
188,Gavilán o paloma,Pablo Abraira
189,Solo era un niño,Mocedades
190,Linda,Miguel Bosé
191,Morir al lado de mi amor,Demis Roussos
192,Eres toda una mujer,Albert Hammond
193,Mi buen amor,Camilo Sesto
194,Te quiero con locura,Mari Trini
195,Desnúdate,Miguel Gallardo
196,Cisne cuello negro,Basilio
197,Rockollection (Part 1),Laurent Voulzy
198,Credo (De la Misa campesina nicaragüense),Elsa Baeza
199,Give a little bit,Supertramp
200,Bellísimo,Gonzalo
201,Bellísimo,Gonzalo
202,Terminado,Albert Hammond
203,Si me amaras,Albert Hammond
204,Llamarada,Lorenzo Santamaría
205,Y no,Camilo Sesto
206,Abrázame y quiéreme,Paolo Salvatore
207,Niña,Sandro Giacobbe
208,Amor mío ¿cómo estás?,Miguel Bosé
209,Stayin' alive,Bee Gees
210,Cara de gitana,Daniel Magal
211,Necesito un trago,Tequila
212,Fue tan poco tu cariño,El Mariachi de América
213,Gorrión,Miguel Gallardo
214,El boxeador,Laredo
215,Solo tú (Spanish version),Matia Bazar
216,Anna,Miguel Bosé
217,Night fever,Bee Gees
218,Rivers of Babylon,Boney M.
219,¿Quién te cantará?,Mocedades
220,Esperanzas,Los Pecos
221,Espinita,Albert Hammond
222,Got a feeling,Patrick Juvet
223,FM (No static at all),Steely Dan
224,You're the one that I want,John Travolta
225,Tu,Umberto Tozzi
226,Rasputin,Boney M.
227,Terciopelo y fuego,Falcons
228,Terciopelo y fuego,Falcons
229,It's downtown,New Trolls
230,One chain (Don't make no prison),Santana
231,Acordes,Los Pecos
232,Sgt. Pepper's lonely hearts club band,The Beatles
233,Y.M.C.A.,Village People
234,El amor de mi vida,Camilo Sesto
235,Da ya think I'm sexy?,Rod Stewart
236,Too much heaven,Bee Gees
237,Una historia,Triana
238,Tragedy,Bee Gees
239,Chiquitita (Spanish version),ABBA
240,Born to be alive,Patrick Hernandez
241,Quién será,Camilo Sesto
242,Súper Supermán,Miguel Bosé
243,Gloria,Umberto Tozzi
244,Soy un corazón tendido al sol,Víctor Manuel
245,El amor,José Luis Perales
246,No lastimes más,Rocío Dúrcal
247,Lady writer,Dire Straits
248,Agapimú,Ana Belén
249,Me vuelvo loco,Tequila
250,Me vuelvo loco,Tequila
251,Sin amor,Iván
252,Man gave name to all the animals,Bob Dylan
253,La culpa ha sido mía,Camilo Sesto
254,Háblame de ti,Los Pecos
255,Como yo te amo,Rocío Jurado
256,Bailad,Red de San Luis
257,¿Quién puso más?,Víctor Manuel
258,Memorize your number,Leif Garrett
259,Aire,Pedro Marín
260,Desde mi libertad,Ana Belén
261,Desire,Andy Gibb
262,Morir de amor,Miguel Bosé
263,Tu frialdad,Triana
264,Ven,Paolo Salvatore
265,Hey,Julio Iglesias
266,Santa Lucía,Miguel Ríos
267,Dime que me quieres,Tequila
268,Can't stop the music,Village People
269,Te amaré,Miguel Bosé
270,Shandi,Kiss
271,Emotional rescue,The Rolling Stones
272,My turn to love you,Eddy Grant
273,Xanadu,Olivia Newton-John
274,Lloras,Don McLean
275,Woman in love,Barbra Streisand
276,Perdóname,Camilo Sesto
277,Don't stand so close to me,The Police
278,Querer y perder,Dyango
279,(Just like) Starting over,John Lennon
280,Qué será,Ana Belén
281,Señor,Los Pecos
282,Lady,Kenny Rogers
283,Another one bites the dust,Queen
284,No llores por mí Argentina,Paloma San Basilio
285,Johnny & Mary,Robert Palmer
286,Las chicas son guerreras,Coz
287,No me hables,Juan Pardo
288,Everybody's gotta learn sometime,The Korgis
289,Todo se derrumbó dentro de mí,Emmanuel
290,Te quiero tanto,Iván
291,The best of times,Styx
292,Te quiero,José Luis Perales
293,Amar es algo más,"José Luís Rodríguez ""El Puma"""
294,Rapture,Blondie
295,I surrender,Rainbow
296,Caperucita feroz,Orquesta Mondragón
297,Something 'bout you baby I like,Status Quo
298,Looking for clues,Robert Palmer
299,Stars on 45,Stars on 45
300,Jugando a vivir,Miguel Ríos
301,Una noche de amor desesperada,Triana
302,De niña a mujer,Julio Iglesias
303,Hands up,Ottawan
304,No hago otra cosa que pensar en ti,Joan Manuel Serrat
305,Bette Davis eyes,Kim Carnes
306,Pavo real,"José Luís Rodríguez ""El Puma"""
307,Ma quale idea,Pino D'Angiò
308,"Tú, solo tú",Bertín Osborne
309,El baile de los pajaritos,María Jesús y Su Acordeón
310,Start me up,The Rolling Stones
311,Hold on tight,Electric Light Orchestra (E.L.O.)
312,Salta!!,Tequila
313,Márchate ya,Miguel Bosé
314,Amor no me ignores,Camilo Sesto
315,Juntos,Paloma San Basilio
316,Champú de huevo,Tino Casal
317,No puedo enamorarme de tí,Antonio Flores
318,Va a estallar el obus,Obús
319,We kill the world (Don't kill the world),Boney M.
320,Latino,Francisco
321,Tonight I'm yours (Don't hurt me),Rod Stewart
322,Si la vieras con mis ojos,Dyango
323,Que no lastimen a tu corazón,Los Pecos
324,(Out here) On my own,Nikka Costa
325,Souvenir,Orchestral Manoeuvres in the Dark (O.M.D.)
326,Como una ola,Rocío Jurado
327,Frente al amor,María Jiménez
328,Some folks (Come bring your love to me),Street Boys
329,One of us,ABBA
330,La ladrona,Paolo Salvatore
331,Los rockeros van al infierno,Barón Rojo
332,A la porra la sartén,Carmín
333,Bésame tonta,Orquesta Mondragón
334,Me colé en una fiesta,Mecano
335,Él,Lucía
336,Bienvenidos,Miguel Ríos
337,Ebony and Ivory,Paul McCartney
338,Bailando,Alaska y Los Pegamoides
339,Me estoy volviendo loco,Azul y Negro
340,Que dolor,Raffaella Carrá
341,More than this,Roxy Music
342,Tú y yo,Emmanuel
343,Un toque de locura,"José Luís Rodríguez ""El Puma"""
344,Just an illusion,Imagination
345,Las leandras,Luís Cobos
346,Que tire la toalla,Leño
347,Felicidad,Al Bano y Romina Power
348,Dos enamorados,Pedro Marín
349,Hay que ver,Juan Pardo
350,Maquillaje,Mecano
351,No sucederá más,Claudia Mori
352,Eye of the tiger,Survivor
353,Love is in control (Finger on the trigger),Donna Summer
354,El blues del autobús,Miguel Ríos
355,Dueño de nada,"José Luís Rodríguez ""El Puma"""
356,Abrázame,Bertín Osborne
357,Por amor,José Luis Perales
358,No me vuelvo a enamorar,Julio Iglesias
359,Can't take my eyes off you,Boys Town Gang
360,No aguanto más,Luz Casal
361,Amor de hombre,Mocedades
362,It's raining again,Supertramp
363,Music and lights,Imagination
364,Bravo muchachos,Miguel Bosé
365,Tu cadena,Francisco
366,Devuélveme mi libertad,Camilo Sesto
367,Pass the dutchie,Musical Youth
368,Y ¿cómo es él?,José Luis Perales
369,The girl is mine,Michael Jackson
370,The night,Azul y Negro
