,Song,Artist
776,Gypsy woman (She's homeless),Crystal Waters
777,Mundo de cristal,Duncan Dhu
778,Hombres,Loquillo y Los Trogloditas
779,Shiny happy people,R.E.M.
780,You could be mine,Guns N' Roses
781,Galilea,Sergio Dalma
782,El peón del rey de negras,Mecano
783,(Everything I do) I do it for you,Bryan Adams
784,Calling Elvis,Dire Straits
785,Pisando fuerte,Alejandro Sanz
786,Nos queda la noche,El Golpe
787,Don't cry,Guns N' Roses
788,La casa azul,Duncan Dhu
789,Naturaleza muerta,Mecano
790,Y no amanece,Los Secretos
791,Something got me started,Simply Red
792,La deuda de la mentira,Danza Invisible
793,Cuando duermes,Cómplices
794,Black or white,Michael Jackson
795,Licencia para bailar,La Década Prodigiosa
796,El ritmo del mar,Celtas Cortos
797,La vida todavía,Eros Ramazzotti
798,Can't stop this thing we started,Bryan Adams
799,No son of mine,Genesis
800,Un pedazo de cielo,Luz Casal
801,Se le apagó la luz,Alejandro Sanz
802,Martika's kitchen,Martika
803,Dalai Lama,Mecano
804,Verdad que sería estupendo,Cómplices
805,Stars,Simply Red
806,Good night girl,Wet Wet Wet
807,Smells like teen spirit,Nirvana
808,Llovió,Presuntos Implicados
809,20 de abril,Celtas Cortos
810,El canto de la sirena,Los Limones
811,Remember the time,Michael Jackson
812,Bonito es,Los Sencillos
813,Piensa en mí,Luz Casal
814,One,U2
815,Lo que fui es lo que soy,Alejandro Sanz
816,Human touch,Bruce Springsteen
817,Amor fugaz,La Unión
818,María,Modestia Aparte
819,Ave Lucía,Sergio Dalma
820,Let's get rocked,Def Leppard
821,Better days,Bruce Springsteen
822,Cuéntame un cuento,Celtas Cortos
823,Al lado de ti,La Trampa
824,Por verte feliz,Terapia Nacional
825,Dame tu amistad,Tennessee
826,In the closet,Michael Jackson
827,Una rosa es una rosa,Mecano
828,The one,Elton John
829,Weather with you,Crowded House
830,Es por ti,Luz Casal
831,Historias de amor,OBK
832,Jam,Michael Jackson
833,La vida empieza hoy,Sergio Dalma
834,El fallo positivo,Mecano
835,Otro día más sin verte,Jon Secada
836,Ya está bien,Celtas Cortos
837,How do you do?,Roxette
838,Humpin' around,Bobby Brown
839,Juegos de amor,Cabaret Pop
840,Achy breaky heart,Billy Ray Cyrus
841,Erotica,Madonna
842,Mía,Platón
843,Drive,R.E.M.
844,A un minuto de ti,Mikel Erentxun
845,Heal the world,Michael Jackson
846,No ordinary love,Sade
847,Keep the faith,Bon Jovi
848,I will always love you,Whitney Houston
849,Baby don't cry,INXS
850,Piel sobre piel,Tam Tam Go!
851,No te rindas,La Trampa
852,Sólo por un día,Valera
853,Have you ever needed someone so bad,Def Leppard
854,El sitio de mi recreo,Antonio Vega
855,Rastros de tí,Cabaret Pop
856,Hope of deliverance,Paul McCartney
857,I feel you,Depeche Mode
858,El que canta su mal espanta,El Último de la Fila
859,If I ever lose my faith in you,Sting
860,Esta luz nunca se apagará,Mikel Erentxun
861,Bed of roses,Bon Jovi
862,Cosas de la vida,Eros Ramazzotti
863,Salomé,U2
864,De ley,Rosario
865,Si tú no vuelves,Miguel Bosé
866,Ordinary world,Duran Duran
867,Si tú me miras,Alejandro Sanz
868,Nuestros nombres,Héroes del Silencio
869,Livin' on the edge,Aerosmith
870,Your latest trick,Dire Straits
871,All that she wants,Ace of Base
872,Informer,Snow
873,Dicen...,OBK
874,Fields of gold,Sting
875,Amiga mala suerte,Los Secretos
876,Mi tierra,Gloria Estefan
877,Can't help falling in love,UB40
878,Sin documentos,Los Rodríguez
879,El hombre de negro,Loquillo y Los Trogloditas
880,Numb,U2
881,Quiero tener tu presencia,Seguridad Social
882,Ella,Viceversa
883,Como un burro amarrado en la puerta del baile,El Último de la Fila
884,Cantaloop (Flip fantasia),US3
885,What's up,4 Non Blondes
886,Otra como tu,Eros Ramazzotti
887,La herida,Héroes del Silencio
888,The river of dreams,Billy Joel
889,Tocar madera,Manolo Tena
890,Higher ground,UB40
891,El orden del mundo,Danza Invisible
892,Go west,Pet Shop Boys
893,Both sides of the story,Phil Collins
894,Cryin',Aerosmith
895,Boom! Shake the room,Jazzy Jeff and Fresh Prince
896,Un amigo de verdad,Viceversa
897,Me haces tanto bien,Amistades Peligrosas
898,Please forgive me,Bryan Adams
899,Tranquilo majete,Celtas Cortos
900,The gift,INXS
901,Ain't it fun,Guns N' Roses
902,Echar a volar,David Santisteban
903,Sólo para ti,Sergio Dalma
904,You owe it all to me,Texas
905,Demasiado corazón (Too much heart),Mink Deville
906,Dirty dawg,New Kids on the Block
907,Si es tan solo amor,Revólver
908,Te comería el corazón,Miguel Bosé
909,Amazing,Aerosmith
910,Streets of Philadelphia,Bruce Springsteen
911,Casi nunca bailais,Amistades Peligrosas
912,Breathe again,Toni Braxton
913,Madera de colleja,Celtas Cortos
914,La casa de los sueños,La Unión
915,Mr. Jones,Counting Crows
916,The most beautiful girl in the world,Prince
917,Take it back,Pink Floyd
918,You've got to live a little,Texas
919,Sleeping in my car,Roxette
920,Without you,Mariah Carey
921,Elixir de juventud,Antonio Vega
922,Dentro de ti,Revólver
923,"Baby, I love your way",Big Mountain
924,What do you want from me?,Pink Floyd
925,La soledad,Laura Pausini
926,Canario,No me pises que llevo Chanclas
927,Vivir sin aire,Maná
928,Señor Matanza,Mano Negra
929,Somos el futuro,Siete-7 Black
930,Capricornio,Duncan Dhu
931,Crazy,Aerosmith
932,Don't turn around,Ace of Base
933,Las palabras de amor,Presuntos Implicados
934,Love is strong,The Rolling Stones
935,I swear,All-4-One
936,Love is all around,Wet Wet Wet
937,Letitgo,Prince
938,Crash! boom! bang!,Roxette
939,Word up,Gun
940,Se fue,Laura Pausini
941,7 seconds,Neneh Cherry
942,Circle of life,Carmen Twillie
943,Always,Bon Jovi
944,Summer in the city,Joe Cocker
945,"What's the frequency, Kenneth?",R.E.M.
946,When we dance,Sting
947,Amores extraños,Laura Pausini
948,Estoy aquí,Rosario
949,About a girl,Nirvana
950,Amores extraños,Laura Pausini
951,"Hold me, thrill me, kiss me",Gloria Estefan
952,Take a bow,Madonna
953,Blind man,Aerosmith
954,Zombie,The Cranberries
955,Siete vidas,Antonio Flores
956,Bang and blame,R.E.M.
957,A conspiracy,The Black Crowes
958,Comerranas,Seguridad Social
959,Here comes the hotstepper,Ini Kamoze
960,Believe,Elton John
961,Murder incorporated,Bruce Springsteen
962,No more I love you's,Annie Lennox
963,Someday I'll be saturday night,Bon Jovi
964,No va más,Revólver
965,The man who sold the world,Nirvana
966,Ruido,Joaquín Sabina
967,Secret garden,Bruce Springsteen
968,A un perro flaco,Juan Perro
969,Back for good,Take That
970,La fuerza del corazón,Alejandro Sanz
971,Everlasting love,Gloria Estefan
972,Scatman,Scatman John
973,Scream,Michael Jackson
974,Have you ever really loved a woman?,Bryan Adams
975,This ain't a love song,Bon Jovi
976,Milonga del marinero y el capitán,Los Rodríguez
977,Mishale,Andru Donalds
978,Entre mis recuerdos,Luz Casal
979,Can't cry anymore,Sheryl Crow
980,Mi razón de ser,OBK
981,En la selva,Juan Perro
982,Mi soledad y yo,Alejandro Sanz
983,Scatman's world,Scatman John
984,Sin llaves,El Último de la Fila
985,Shy guy,Diana King
986,Iberia sumergida,Héroes del Silencio
987,Aquí no podemos hacerlo,Los Rodríguez
988,Rock and roll is dead,Lenny Kravitz
989,You are not alone,Michael Jackson
990,Besaré el suelo,Luz Casal
991,Something for the pain,Bon Jovi
992,Fairground,Simply Red
993,No despertaré,Sergio Dalma
994,Problema,Ketama
995,Las mentiras del viento,Manolo Tena
996,Más allá,Gloria Estefan
997,Heaven for everyone,Queen
998,Jesus to a child,George Michael
999,La chispa adecuada (Bendecida 3),Héroes del Silencio
1000,Lo eres todo,Luz Casal
1001,Earth song,Michael Jackson
1002,Exhale (shoop shoop),Whitney Houston
1003,Nirvana,El Bosco
1004,Verás  (You'll see),Madonna
1005,Wonderwall,Oasis
1006,Quiero morir en tu veneno,Alejandro Sanz
1007,Suelta las riendas de mi corazón,Mikel Erentxun
1008,Missing,Everything But The Girl
1009,The universal,Blur
1010,Flor de lis,Ketama
1011,Spaceman,Babylon Zoo
1012,How deep is your love,Bee Gees
1013,Children,Robert Miles
1014,Me quedaré solo,Amistades Peligrosas
1015,Negrita,La Unión
1016,Let your soul be your pilot,Sting
1017,Darling pretty,Mark Knopfler
1018,Fastlove,George Michael
1019,La cosa más bella,Eros Ramazzotti
1020,These days,Bon Jovi
1021,Reach,Gloria Estefan
1022,No nos podrán parar,Celtas Cortos
1023,Salvation,The Cranberries
1024,María,Ricky Martin
1025,Lemon tree,Fools Garden
1026,Mucho mejor,Los Rodríguez
1027,The only thing that looks good on me is you,Bryan Adams
1028,Until it sleeps,Metallica
1029,Contigo,Joaquín Sabina
1030,¡A sudar!,Danza Invisible
1031,El talismán,Rosana
1032,Ironic,Alanis Morissette
1033,Estrella gemela,Eros Ramazzotti
1034,Killing me softly,Fugees
1035,Lo echamos a suertes,Ella Baila Sola
1036,Dame,Luís Miguel
1037,Duro de pelar,Rebeca
1038,Spinning the wheel,George Michael
1039,El tacto de su piel,Lydia
1040,Woman,Neneh Cherry
1041,Dance into the light,Phil Collins
1042,Se a vida é (That's the way life is),Pet Shop Boys
1043,Inolvidable,Laura Pausini
1044,Wannabe,Spice Girls
1045,Vivimos siempre juntos,Nacho Cano
1046,Sunset boulevard,Javier Álvarez
1047,¡Qué bonito!,Rosario
1048,Child,Mark Owen
1049,La aurora,Eros Ramazzotti
1050,Mi enfermedad,Los Rodríguez
1051,Este mundo va,Miguel Bosé
1052,Cuando los sapos bailen flamenco,Ella Baila Sola
1053,Y sin embargo,Joaquín Sabina
1054,Salta!!!,Seguridad Social
1055,Don't speak,No Doubt
1056,Step by step,Whitney Houston
1057,Cosmic girl,Jamiroquai
1058,Beetlebum,Blur
1059,Las cosas que vives,Laura Pausini
1060,Say you will be there,Spice Girls
1061,Weather with you,Crowded House
1062,Don't cry for me Argentina,Madonna
1063,Barrel of a gun,Depeche Mode
1064,A tu lado,Rosario
1065,Discotheque,U2
1066,Quit playin' games,Backstreet Boys
1067,Say what you want,Texas
1068,Your woman,White Town
1069,Amores de barra,Ella Baila Sola
1070,Sweet kisses,Squeezer
1071,Si si... o si no,David Summers
1072,Moja mi corazón,Marta Sánchez
1073,Grande,Paolo Vallesi
1074,La suerte que viene y va,Nacho Cano
1075,Song 2,Blur
1076,The real thing,Lisa Stansfield
1077,Blood on the dance floor,Michael Jackson
1078,Garota nacional,Skank
1079,Frío sin tí,Navajita Plateá
1080,Mmmbop,Hanson
1081,Haz turismo,Celtas Cortos
1082,A contratiempo,Ana Torroja
1083,Staring at the sun,U2
1084,La flaca,Jarabe de Palo
1085,Laura no está,Nek
1086,Cantos de sirena,Inma Serrano
1087,I'll be missing you,P. Diddy
1088,Everybody (Backstreet's back),Backstreet Boys
1089,"Y, ¿si fuera ella?",Alejandro Sanz
1090,Serenade,Dover
1091,Bitch,Meredith Brooks
1092,Candle in the wind,Elton John
1093,Salomé,Bunbury
1094,Honey,Mariah Carey
1095,Loco,Andrés Calamaro
1096,Estatua de sal,Ketama
1097,Barbie girl,Aqua
1098,Anybody seen my baby?,The Rolling Stones
1099,Bitter sweet symphony,The Verve
1100,Todas las flores,Presuntos Implicados
1101,Corazón partío,Alejandro Sanz
1102,Only when I sleep,The Corrs
1103,As long as you love me,Backstreet Boys
1104,Raincloud,Lighthouse Family
1105,Nada que perder,Amistades Peligrosas
1106,Desátame,Mónica Naranjo
1107,Angel of mine,Eternal
1108,Acuarela,Seguridad Social
1109,Come into my life,Gala
1110,Together again,Janet Jackson
1111,Everything's gonna be alright,Sweetbox
1112,Flaca,Andrés Calamaro
1113,My heart will go on,Celine Dion
1114,Torn,Natalie Imbruglia
1115,De qué me sirve llorar,OBK
1116,Frozen,Madonna
1117,Quién se acuerda de ti,Mikel Erentxun
1118,La copa de la vida,Ricky Martin
1119,El club de los humildes,Mecano
1120,Never ever,All Saints
1121,High,Lighthouse Family
1122,Gettin' jiggy wit it,Will Smith
1123,Doctor Jones,Aqua
1124,Pájaros de barro,Manolo García
1125,Heaven's what I feel (Corazón prohibido),Gloria Estefan
1126,Gimme love,Alexia
1127,Save tonight,Eagle-Eye Cherry
1128,Out of control,The Rolling Stones
1129,What can I do?,The Corrs
1130,Gimme the power,Molotov
1131,Ponle sabor,DJ Kun
1132,Train,Undrop
1133,La bomba,Ricky Martin
1134,Happy world,Blue 4 U
1135,Why can't we be friends,Smash Mouth
1136,Horny,Mousse T.
1137,Life,Des'ree
1138,Carbón y ramas secas,Manolo García
1139,Oye,Gloria Estefan
1140,Depende,Jarabe de Palo
1141,I think I'm paranoid,Garbage
1142,Y quisiera,Ella Baila Sola
1143,Si sé que te tengo a ti,Nek
1144,Soñaré,La Oreja de Van Gogh
1145,Crush,Jennifer Paige
1146,Quiero vender mi pasado,La Rabia del Milenio
1147,On a day like today,Bryan Adams
1148,Thank you,Alanis Morissette
1149,Contigo,Rosana
1150,Outside,George Michael
1151,Believe,Cher
1152,Sweetest thing,U2
1153,When you believe,Whitney Houston
1154,"Ciega, sordomuda",Shakira
1155,Despídete,Ella Baila Sola
1156,Sad eyes,Bruce Springsteen
1157,Cuéntame al oído,La Oreja de Van Gogh
1158,Agua,Jarabe de Palo
1159,If you could read my mind,Stars on 54
1160,You gotta be,Des'ree
1161,When you're gone,Bryan Adams
1162,Can't  take my eyes off you,Lauryn Hill
1163,Big big world,Emilia
1164,It's not right but it's okay,Whitney Houston
1165,Happy birthday,Sunflowers
1166,So young,The Corrs
1167,Busindre reel,Hevia
1168,Maria,Blondie
1169,Wish I could fly,Roxette
1170,Strong enough,Cher
1171,Tender,Blur
1172,Promises,The Cranberries
1173,Pura sangre,Jarabe de Palo
1174,Salomé,Chayanne
1175,... baby one more time,Britney Spears
1176,Searchin' my soul,Vonda Shepard
1177,La última carta,Los Cucas
1178,Livin' la vida loca,Ricky Martin
1179,I want it that way,Backstreet Boys
1180,Te quiero igual,Andrés Calamaro
1181,Bailamos,Enrique Iglesias
1182,Canned heat,Jamiroquai
1183,Wait here,Deviot
1184,Blue (Da ba dee),Eiffel 65
1185,Livin' in jam,Blue 4 U
1186,Mambo nº 5 (A little bit of...),Lou Bega
1187,La Lola,Café Quijano
1188,Wild wild west,Will Smith
1189,"Santo, santo",So Pra Contrariar
1190,Manía,Babel Fish
1191,If you had my love,Jennifer López
1192,Sometimes,Britney Spears
1193,19 días y 500 noches,Joaquín Sabina
1194,Atrapados en la red,Tam Tam Go!
1195,La buena onda,Moneda Dura
1196,Miénteme,Ketama
1197,Mi confianza,Luz Casal
1198,Cherry Lee,Dover
1199,O tú ó ninguna,Luís Miguel
1200,Genie in a bottle,Christina Aguilera
1201,Heartbreaker,Mariah Carey
1202,Rhythm divine,Enrique Iglesias
1203,Gente distinta,Celtas Cortos
1204,Waiting for tonight,Jennifer López
1205,That's the way it is,Celine Dion
1206,You drive me crazy,Britney Spears
1207,Radio,The Corrs
1208,Move your body,Eiffel 65
1209,The best of me,Bryan Adams
1210,Sentir,Luz Casal
1211,Pasarán,Tam Tam Go!
1212,Sex bomb,Tom Jones
1213,Corazón espinado,Santana
1214,Llamando a la tierra,M-Clan
1215,Go let it out,Oasis
1216,Cartoon heroes,Aqua
1217,Quiero un camino,Melon Diesel
1218,What a girl wants,Christina Aguilera
1219,The bad touch,The Bloodhound Gang
1220,Despierta,Miranda Warning
1221,Charla del pescado,Juan Perro
1222,Sobreviviré,Mónica Naranjo
1223,Se me olvidó otra vez,Maná
1224,Tú sigue así,OBK
1225,Bye bye bye,'N SYNC
1226,Let's get loud,Jennifer López
1227,Entre el mar y una estrella,Thalía
1228,I will love again,Lara Fabián
1229,If only,Hanson
1230,It's my life,Bon Jovi
1231,Sueño su boca,Raúl
1232,No me dejes de querer,Gloria Estefan
1233,María María,Santana
1234,La bomba,King Africa
1235,Oops! i did it again,Britney Spears
1236,California,Mikel Erentxun
1237,Rayando el sol,Maná
1238,Ya no quiero tu querer,José El Francés
1239,El cielo no entiende,OBK
1240,Breathless,The Corrs
1241,Cuando nadie me ve,Alejandro Sanz
1242,El pozo de Arán,Carlos Núñez
1243,Music,Madonna
1244,Cuídate,La Oreja de Van Gogh
1245,Rock DJ,Robbie Williams
1246,Life is a rollercoaster,Ronan Keating
1247,San Pedro,Revólver
1248,Entre tú y mil mares,Laura Pausini
1249,Como Camarón,Estopa
1250,Beautiful day,U2
1251,Ven conmigo (Solamente tú),Christina Aguilera
1252,Shape of my heart,Backstreet Boys
1253,Fuego en el fuego,Eros Ramazzotti
1254,Quisiera ser,Alejandro Sanz
1255,París,La Oreja de Van Gogh
1256,She bangs,Ricky Martin
1257,Don't tell me,Madonna
1258,El salmón,Andrés Calamaro
1259,Original prankster,The Offspring
1260,¿Cómo repartimos los amigos?,Ella Baila Sola
1261,Amor se paga con amor,Jennifer López
1262,Stan,Dido
1263,Y sin embargo,Joaquín Sabina
1264,Cacho a cacho,Estopa
1265,Déjame,Los Secretos
1266,De vuelta y vuelta,Jarabe de Palo
1267,Walking away,Craig David
1268,Carolina,M-Clan
1269,Here with me,Dido
1270,Y yo sigo aqui,Paulina Rubio
1271,La playa,La Oreja de Van Gogh
1272,Estaciones,Antonio Vega
1273,El alma al aire,Alejandro Sanz
1274,Eres un canalla,El Canto del Loco
1275,The centre of the heart,Roxette
1276,Ruido,Joaquín Sabina
1277,No rompas mi corazón,Coyote Dax
1278,Dos días en la vida,Jarabe de Palo
1279,One wild night,Bon Jovi
1280,Yo quiero bailar,Sonia y Selena
1281,Nunca el tiempo es perdido,Manolo García
1282,Maggie despierta,M-Clan
1283,Imitation of life,R.E.M.
1284,Dile que la quiero,David Civera
1285,Me gustas tú,Manu Chao
1286,Prohibida,Raúl
1287,Out of reach,Gabrielle
1288,Nada de ná,Café Quijano
1289,Vive el verano,Paulina Rubio
1290,Angel,Shaggy
1291,Lady Marmalade,P!nk
1292,¡Ay! corazón,Las Hijas del Sol
1293,Little L,Jamiroquai
1294,Soledad,La Oreja de Van Gogh
1295,19-2000,Gorillaz
1296,Pretending,Him
1297,Toda,Malú
1298,Cómo quieres que te quiera,Rosario
1299,King George,Dover
1300,Analyse,The Cranberries
1301,Can't get you out of my head,Kylie Minogue
1302,Gente,Presuntos Implicados
1303,You rock my world,Michael Jackson
1304,Partiendo la pana,Estopa
1305,Suerte,Shakira
1306,Morenamía,Miguel Bosé
1307,Y sólo se me ocurre amarte,Alejandro Sanz
1308,Mi música es tu voz,Academia Operación Triunfo I
1309,Hoy,Rosana
1310,Fallin',Alicia Keys
1311,No sé qué me das,Fangoria
1312,Te dejo Madrid,Shakira
1313,La lista de la compra,La Cabra Mecánica
1314,Overprotected,Britney Spears
1315,A gritos de esperanza,Álex Ubago
1316,Sin ti no soy nada,Amaral
1317,Vino tinto,Estopa
1318,Baila (Sexy thing),Zucchero
1319,Son sueños,El Canto del Loco
1320,Moi... Lolita,Alizée
1321,Te esperaré,Antonio Orozco
1322,Lady Blue,Bunbury
1323,Torero,Chayanne
1324,A new day has come,Celine Dion
1325,Europe's living a celebration,Rosa
1326,Sin miedo a nada,Álex Ubago
1327,One day in your life,Anastacia
1328,Atrévete,Chenoa
1329,Te necesito,Amaral
1330,Ellas,Alejandro
1331,Ave María,David Bisbal
1332,Sigo intentando,Marta Sánchez
1333,A Dios le pido,Juanes
1334,Que la detengan,David Civera
1335,Aserejé,Las Ketchup
1336,A little less conversation,Elvis Presley
1337,El aire que me das,David Bustamante
1338,By the way,Red Hot Chili Peppers
1339,Cruel to be kind,Naim
1340,Lloraré las penas,David Bisbal
1341,Perdona,Tiziano Ferro
1342,Ángel de amor,Maná
1343,Cuando tú vas,Chenoa
1344,Chihuahua,DJ Bobo
1345,Soy yo,Marta Sánchez
1346,The rising,Bruce Springsteen
1347,Toda la noche en la calle,Amaral
1348,Chica de ayer,Enrique Iglesias
1349,Antihéroe,M-Clan
1350,Baila Casanova,Paulina Rubio
1351,All the things she said,t.A.T.u.
1352,Complicated,Avril Lavigne
1353,Es por ti,Juanes
1354,No te rindas,Álex Ubago
1355,Dígale,David Bisbal
1356,Dos hombres y un destino,David Bustamante
1357,69 Punto G,Joaquín Sabina
1358,Electrical storm,U2
1359,La fuerza de la vida (La razon para luchar),Academia Operación Triunfo II
1360,I'm gonna getcha good,Shania Twain
1361,Morenita,UPA Dance
1362,The game of love,Santana
1363,Feel,Robbie Williams
1364,Jenny from the block,Jennifer López
1365,Color esperanza,Diego Torres
1366,Lose yourself,Eminem
1367,Dilemma,Nelly
1368,Sk8er boi,Avril Lavigne
1369,No me llames iluso,La Cabra Mecánica
1370,Devuélveme a mi chica,Seguridad Social
1371,Déjame olvidarte,Sergio Dalma
1372,Sámbame 2003,UPA Dance
1373,Díme,Beth
1374,Bring me to life,Evanescence
1375,Devuélveme la vida,Antonio Orozco
1376,Cada vez que estoy sin ti,David DeMaría
1377,Lucifer,OBK
1378,American life,Madonna
1379,Puedes contar conmigo,La Oreja de Van Gogh
1380,Bonito,Jarabe de Palo
1381,Jaleo,Ricky Martin
1382,No te escaparás,Hombres G
1383,Que corra el aire,Manuel Carrasco
1384,La madre de José,El Canto del Loco
1385,Una emoción para siempre,Eros Ramazzotti
1386,Bye bye,David Civera
1387,Son de amores,Andy & Lucas
1388,Ojú,Las Niñas
1389,Parando el tiempo,Beth
1390,Crazy in love,Beyoncé
1391,20 de enero,La Oreja de Van Gogh
1392,1 más 1 son 7,Fran Perea
1393,No es lo mismo,Alejandro Sanz
1394,Down,Junior Miguez
1395,El viaje,Antonio Orozco
1396,Yin yang,Jarabe de Palo
1397,Going under,Evanescence
1398,Rosas y espinas,David Bisbal
1399,¡Grita!,Vega
1400,Te necesito,Luís Miguel
1401,Tanto la quería,Andy & Lucas
1402,White flag,Dido
1403,Rosas,La Oreja de Van Gogh
1404,En tu cruz me clavaste,Chenoa
1405,Bad day,R.E.M.
1406,La esencia de tu voz,Rosa
1407,Mi corazón,Fran Perea
1408,Aunque no te pueda ver,Álex Ubago
1409,Tequila,Café Quijano
1410,Me against the music,Britney Spears
1411,Devuélveme el aire,David Bustamante
1412,La costa del silencio,Mago de Oz
1413,Y en tu ventana,Andy & Lucas
1414,Bulería,David Bisbal
1415,Shut up,The Black Eyed Peas
1416,Ya nada volverá a ser como antes,El Canto del Loco
1417,Olvídate de mí,Iguana Tango
1418,In the shadows,The Rasmus
1419,Tardes negras,Tiziano Ferro
1420,Abre tu mente,Merche
1421,"Me, myself and I",Beyoncé
1422,Fuente de energía,Estopa
1423,Hey ya!,Outkast
1424,Te quise tanto,Paulina Rubio
1425,Dragostea din tei,O-Zone
1426,Left outside alone,Anastacia
1427,Retorciendo palabras,Fangoria
1428,Insoportable,El Canto del Loco
1429,Malo,Bebe
1430,Oye el boom,David Bisbal
1431,Duele el amor,Aleks Syntek
1432,Quiero ser,Antonio Orozco
1433,Obsesión,Aventura
1434,Hablando en plata,Melendi
1435,Summer sunshine,The Corrs
1436,Cuanto antes,Álex Ubago
1437,Mariacaipirinha,Carlinhos Brown
1438,Pastillas de freno,Estopa
1439,Dale don dale,Don Omar
1440,Sick and tired,Anastacia
1441,Miro la vida pasar,Fangoria
1442,Camina y ven,David Bisbal
1443,Valió la pena,Marc Anthony
1444,Con la luna llena,Melendi
1445,Para que no se duerman mis sentidos,Manolo García
1446,Precisamente ahora,David DeMaría
1447,Ella,Bebe
1448,Nada valgo sin tu amor,Juanes
1449,Everybody's changing,Keane
1450,Vertigo,U2
1451,¿Por qué no ser amigos?,Hombres G
1452,Escucha atento,Laura Pausini
1453,Sopa fría,M-Clan
1454,Nada valgo sin tu amor,Juanes
1455,Vertigo,U2
1456,Es mi soledad,Antonio Orozco
1457,She will be loved,Maroon 5
1458,Let me show you (The way),Natasha Thomas
1459,Missing,Evanescence
1460,Volverte a ver,Juanes
1461,Nunca volverá,El Sueño de Morfeo
1462,El universo sobre mí,Amaral
1463,Stand my ground,Within Temptation
1464,La camisa negra,Juanes
1465,Caminando por la vida,Melendi
1466,La tortura,Shakira
1467,Zapatillas,El Canto del Loco
1468,Nada fue un error,Coti
1469,Días de verano,Amaral
1470,Don't phunk with my heart,The Black Eyed Peas
1471,Con sólo una sonrisa,Melendi
1472,Have a nice day,Bon Jovi
1473,Pokito a poko,Chambao
1474,You're beautiful,James Blunt
1475,No me crees,Efecto Mariposa
1476,Welcome to my life,Simple Plan
1477,No,Shakira
1478,Hung up,Madonna
1479,Antes que ver el sol,Coti
1480,Hung up,Madonna
1481,Volverá,El Canto del Loco
1482,"Marta, Sebas, Guille y los demás",Amaral
1483,Rutinas,Chenoa
1484,Sorry,Madonna
1485,Déjame verte,Diego Martín
1486,Hips don't lie,Shakira
1487,Muñeca de trapo,La Oreja de Van Gogh
1488,One,Mary J. Blige
1489,Besos,El Canto del Loco
1490,Me voy,Julieta Venegas
1491,Todo,Pereza
1492,Resurrección,Amaral
1493,Satellites,September
1494,Malabares,Estopa
1495,Nothing else matters,Lucie Silvas
1496,Labios compartidos,Maná
1497,Dulce locura,La Oreja de Van Gogh
1498,En qué estrella estará,Nena Daconte
1499,Let me out,Dover
1500,Por la boca vive el pez,Fito & Fitipaldis
1501,Te busqué,Nelly Furtado
1502,La pared,Shakira
1503,La pared,Shakira
1504,En qué estrella estará,Nena Daconte
1505,Silencio,David Bisbal
1506,Lucky,Lucky Twice
1507,Te entiendo,Pignoise
1508,"Te lo agradezco, pero no",Alejandro Sanz
1509,Patience,Take That
1510,Las de la intuición,Shakira
1511,En mi lado del sofá,La Oreja de Van Gogh
1512,Do ya,Dover
1513,Manda una señal,Maná
1514,Me muero,La Quinta Estación
1515,Unwritten,Natasha Bedingfield
1516,How to save a life,The Fray
1517,All good things (Come to an end),Nelly Furtado
1518,Chasing cars,Snow Patrol
1519,Grace Kelly,Mika
1520,Calle la Pantomima,Melendi
1521,When the stars go blue,The Corrs
1522,Umbrella,Rihanna
1523,Monsoon,Tokio Hotel
1524,Nada que perder,Conchita
1525,Me enamora,Juanes
1526,Todo irá bien,Chenoa
1527,Ojala pudiera borrarte,Maná
1528,No one,Alicia Keys
1529,Sueños rotos,La Quinta Estación
1530,Papeles mojados,Chambao
1531,Estrella polar,Pereza
1532,Don't stop the music,Rihanna
1533,Cuando me vaya,Melocos
1534,Say it right,Nelly Furtado
1535,Rehab,Amy Winehouse
1536,Como un lobo,Miguel Bosé
1537,¡Eres tonto!,El Canto del Loco
1538,Cuando amanece,Estopa
1539,Apologize,OneRepublic
1540,Kamikaze,Amaral
1541,Gotas de agua dulce,Juanes
1542,Bleeding love,Leona Lewis
1543,Beautiful girls,Sean Kingston
1544,Mercy,Duffy
1545,Ella elle l'a,Kate Ryan
1546,Rise up,Yves Larock
1547,El último vals,La Oreja de Van Gogh
1548,No dudaría,Rosario
1549,Pretendo hablarte,Beatriz Luengo
1550,Un violinista en tu tejado,Melendi
1551,Tenía tanto que darte,Nena Daconte
1552,Peter Pan,El Canto del Loco
1553,I kissed a girl,Katy Perry
1554,Viva la vida,Coldplay
1555,Quiero ser,Amaia Montero
1556,Quiero ser,Amaia Montero
1557,If I were a boy,Beyoncé
1558,Hemicraneal,Estopa
1559,Beggin,Madcon
1560,Peter Pan,El Canto del Loco
1561,Disturbia,Rihanna
1562,Colgando en tus manos,Carlos Baute
1563,Que te quería,La Quinta Estación
1564,This is the life,Amy MacDonald
1565,The boy does nothing,Alesha Dixon
1566,Just dance,Lady GaGa
1567,Human,The Killers
1568,Infinity 2008,Guru Josh Project
1569,Hot n cold,Katy Perry
1570,Estoy enfermo,Pignoise
1571,I'm yours,Jason Mraz
1572,Poker face,Lady GaGa
1573,Moving,Macaco
1574,Halo,Beyoncé
1575,Summercat,Billie The Vision & the Dancers
1576,When love takes over,David Guetta
