,Song,Artist,songID
47,Whole Lotta Love - Remaster,The Smiths,"['Whole Lotta Love - Remaster', ['Led Zeppelin'], '3OuMIIFP5TxM8tLXMWYPGV']"
48,There Is a Light That Never Goes Out - 2011 Remaster,Gnarls Barkley,"['There Is a Light That Never Goes Out - 2011 Remaster', ['The Smiths'], '0WQiDwKJclirSYG9v5tayI']"
49,Crazy,David Bowie,"['Crazy', ['Gnarls Barkley'], '2N5zMZX7YeL1tico8oQxa9']"
50,Space Oddity - 2009 Remastered Version,Lou Reed,
51,Walk on the Wild Side,Donna Summer,"['Walk On the Wild Side', ['Lou Reed'], '5p3JunprHCxClJjOmcLV8G']"
52,I Feel Love,The Byrds,"['I Feel Love', ['Sam Smith'], '29MOOOmMRPeWyPwKQFoF5t']"
53,Mr. Tambourine Man,Franz Ferdinand,"['Mr. Tambourine Man', ['Bob Dylan'], '3RkQ3UwOyPqpIiIvGVewuU']"
54,Take Me Out,The Rolling Stones,"['Take Me Out', ['Franz Ferdinand'], '6ooluO7DiEhI1zmK94nRCM']"
55,Jumpin' Jack Flash,Ike & Tina Turner,"[""Jumpin' Jack Flash - Mono"", ['The Rolling Stones'], '55LRDFmsuazr533WrtHHW9']"
56,River Deep - Mountain High,Radiohead,"['River Deep - Mountain High', ['Ike & Tina Turner'], '19jo0UT2vqD4pNVfIqTy4R']"
57,Paranoid Android,Beck,"['Paranoid Android', ['Radiohead'], '2nTsKOXIVGDf2iPeVQO2Gm']"
58,Loser,The Righteous Brothers,"['Loser', ['Beck'], '5PntSbMHC1ud6Vvl8x56qd']"
59,You've Lost That Lovin' Feelin' - Single Version,The Crickets,"[""You've Lost That Lovin' Feelin' - Single Version"", ['The Righteous Brothers'], '6AeyHqzNHJthYJbn0tvJ4b']"
60,That'll Be the Day,Ramones,"[""That'll Be The Day"", ['Buddy Holly'], '50RwvvEKX5Q7AZt8FTAwIF']"
61,Blitzkrieg Bop - 2001 Remaster,The Verve,"['Blitzkrieg Bop - 2001 Remaster', ['Ramones'], '2hrF1aiAFGa7bWgt2qhyrc']"
62,Bitter Sweet Symphony,Massive Attack,"['Bitter Sweet Symphony', ['The Verve'], '57iDDD9N9tTWe75x6qhStw']"
63,Unfinished Sympathy - 2006 Digital Remaster,Eagles,
